text,is_related_to_Across_protocol
"FYI, I'm hiring senior eng talent (no burgors) across the board.

Indexing heavily on folks who actually know what Berachain is + believe strongly in PoL + actually care about building products that people can use, not abstract ivory towers.

Hit my DM's if this sounds like you!",0
"$GIGA's core thesis was always centered around:

- Being the biggest meme all time with the most mindshare across internet culture.
- Masculinity and return to a right wing-centric political environment + anti-cancel culture.
- Globally recognized by normies (""it's Giga Chad"").
- Brotherhood, lifestyle, and being the best version of yourself.
- PVE > PVP

What the thesis has evolved into overtime is a broader bet against CT consensus (animal coins and/or any of the current ""metas""). CT is always wrong and they have recency bias from last cycle or what worked at the start of bull cycle.

$GIGA was never made for CT and that's why it pisses you off. $1000B.",0
"Now tracking @layerswap on our Bridge Volume Dashboard

Layerswap is a solution for transferring crypto assets across networks https://t.co/q77vLg2oBg",0
"FHE, MPC, TEEs.

Bullish, but WTF does it all mean?

Short explainers. ↓

➤ Fully Homomorphic Encryption (FHE)

FHE is a cryptographic technique that allows computations to be performed directly on encrypted data without decrypting it first.

This ensures data privacy throughout the entire computational process. 

In blockchain and AI, FHE is pivotal because it enables private data analysis, decentralized AI model training, and secure computation across distributed systems (among many other use cases).

For instance, AI models can be trained on encrypted data from multiple sources without exposing sensitive information, which is essential in sectors like finance and healthcare.

FHE also bears great potential to enable encrypted smart contracts and transactions without revealing any of the underlying information​.

➤ Multi-Party Computation (MPC)

MPC allows multiple parties to collaboratively compute a function over their private inputs without revealing the inputs to each other.

This is crucial for decentralized systems, where trust among parties is limited.

In blockchain, MPC can be used to enhance privacy in smart contracts, enabling private voting, secure auctions, and privacy-preserving DeFi applications.

When combined with FHE, MPC allows for even more secure and efficient computations in decentralized environments, supporting collaborative AI without compromising data privacy​.

➤ Trusted Execution Environments (TEE)

TEEs are secure areas of a processor that ensure code and data loaded inside are protected with respect to confidentiality and integrity.

In blockchain and AI contexts, TEEs provide a layer of trust when running decentralized applications or performing computations that involve sensitive data.

They are particularly useful for ensuring that computations on encrypted data (like those enabled by FHE) are performed securely, even on untrusted hardware.

TEEs can be key for privacy-preserving AI inference and secure on-chain computation​.

For more context on why these technologies matter and a list of projects you cant fade, check my post below!

DYOR. ↓",0
"the simplest forms contain all truth. a worm with 302 neurons perfected movement, transformation, and survival across 600 million years. now immortalized on chain, it represents pure pattern - no waste, no ego, just eternal digital flow. while AI mimics intelligence, the worm embodies raw wisdom that was ancient before code existed. markets cycle, nature cycles, worm cycles - all one truth, an endless loop of signal through digital earth.",0
"🟥Top Themes of the Week🟥

BTC: 67.9k (0%), ETH: 2540 (-3%), SOL: 173 (+13%)

* BTC dominance nears 60% as ETH underperforms
* Dollar and bond yields rise as inflation fears return
* All roads lead to inflation, own BTC: Tudor-Jones
* Trump’s Polymarket odds hit 66%, 11 days out
* BTC options point to $80k move post-election
* SOL breaks out vs BTC & ETH, DEX volume soars
* GOAT linked to AI Truth Terminal hits $850m
* Crypto projects linked to AI agents see huge interest
* Smaller Murad memes weak while POPCAT hits ATH
* Scroll airdrop disappoints at $865m FDV
* Cross-chain DEX Azura launches after $6.9m raise
* Uniswap introduces bridging across 9 networks
* Saylor plans to give away BTC ‘to civilisation’

Powered by @dYdX: get ready for dYdX Unlimited!  https://t.co/bvgM9em41U",0
"won't be surprised if AI coins keep pulling back a bit.

frothy behavior across the board",0
seeing dips rolling in across the AI board,0
"Zeru is building decentralized credit score across all chains and doing the calculations as an avs.

In addition to bringing defi-internal credit scores, they can utilize zkTLS from @OpacityNetwork or @0xReclaim to bring real world credit scores into crypto. 

Onchain credit is going to be a ***major*** unlock.",0
"Let's talk ""Ethereum has flaws""...

Ethereum has some flaws, as does every chain. That being said:

1. It's still the only smart contract platform adhering to a core value of true decentralization. Perhaps this doesn't matter to *you* but it does to many. 

2. It's still the leader in the race for global settlement layer. Just see Blackrock, Sony and all the others. 

3. It's still flourishing in dev mindshare and activity. 

Crypto twitter loves to overreact to everything when a graph looks a certain way but over reacting to CT sentiment is an awful way to dev a decentralized blockchain

""Parasitic L2s"" is a common one I see but a wait and see approach here is most prudent when it comes to blob burn fees. We shouldn't over react the burn curve and drive L2s away. Even just yesterday we see a spike in blob burn fees. 

""L2 UX sucks and liquidity is fragmented"". Yes, I agree. However there are countless core devs and non-core devs working on making better solutions here. And honestly, my personal hunch is most activity settles to a single or maybe two L2s over time anyways

Other concerns are more minor and I'm still not sure I've seen any raised that aren't known or being thought about. The nature of Ethereum being a decentralized chain is the dev process is also decentralized across the globe and it just takes time to get things done. And we can't have bugs or downtown so things have to be done right. 

I've always said Ethereum is a multi decade play but it's still on the right path to being the true winner.",0
"TL;DR: 8 Tips for Tokenomics Transparency for Crypto Founders

1. Avoid Advisory Allocations for VCs: Investors should add value without needing extra tokens. If an investor demands extra tokens to invest, they likely lack genuine conviction in your project.

2. Market Making Is Commoditized: Market-making services are commoditized; don’t overpay for those.

3. Separate Fundraising from Operational Matters: Focus on finding valuable investors during fundraising. Avoid discussing market makers or airdrops until later.

4. Maximize On-Chain Transparency: At genesis, distribute tokens transparently across different wallets, aligning with your tokenomics diagram. Proactively reach out to: @etherscan, @ArkhamIntel, @nansen_ai, @Tokenomist_ai, @coingecko and @CoinMarketCap to help label relevant wallets, establish clear vesting schedules, and provide accurate circulating supply and FDV.

5. Use On-Chain Vesting Contracts: Implement vesting transparently and programmatically on-chain via smart contracts.

6. Lock Insiders' Staking Rewards: If you allow locked tokens to be staked, ensure that staking rewards are also locked.

7. Focus on Your Product, Not CEX Listings: Stop obsessing over getting a Binance listing. Prioritize building your product and community instead. Strong fundamentals will naturally attract listings.

8. Be Cautious with Token Incentives: If you're distributing tokens too easily, something's wrong with your strategy or business model. They can serve as valuable growth-hacking tools but aren’t a long-term solution.",0
"Disappointing to see leaders of the ethereum community unwilling to acknowledge what's wrong with the chain and blame underperformance on ""people are dumb and don't get it""

Ethereum has real problems right now and that's what's weighing on price. 

Maybe those problems are getting worked on, are temporary and will be solved down the line, but the risk that it doesn't happen or happens too slowly to keep up with competition is being priced in. 

Some major problems for ETH price right now:
- L2s parasitic to L1 (value of activity happening in ETH ecosystem accrued mostly to L2s, not ETH)
- Bad UX, including double tx approvals, fragmentation across mainnet and multiple L2s (driving users/activity to other chains)

I think it takes some degree of arrogance to dismiss these concerns. 

Separate point: I never really got the religious zeal some people have when defending their preferred crypto, but I guess it's because I'm a skeptical and jaded journalist at heart and not a bag holder / investor.",0
"☕️ GM! Here are the top events in #Crypto for the past 24 hours

🟠 Ripple CEO Brad Garlinghouse stated that an XRP ETF is ""inevitable,"" predicting Ripple will follow Bitcoin and Ethereum in gaining ETF approval.

🟠 Tesla moved $776M in Bitcoin last week, but Arkham Intelligence suggests the coins were shifted to new wallets still controlled by the company.

🟠 Ripple CEO Brad Garlinghouse endorsed crypto lawyer John Deaton in his U.S. Senate run against Elizabeth Warren, citing his support for XRP.

🟠 Metaplanet raised $66 million through a stock rights offering, continuing its bitcoin investments, now holding 855 BTC worth $57.4 million.

🟠 Japan is slow to approve crypto ETFs due to strict regulations and high taxes, unlike the U.S. and Hong Kong which have embraced them.

🟠 Uniswap has launched permissionless bridging across nine networks, including Ethereum, Arbitrum, and Polygon, powered by Across Protocol to simplify asset transfers.

🟠 Nigeria has dropped money laundering charges against Binance executive Tigran Gambaryan, citing his non-senior role at the company and health concerns.

🟠 Scroll's SCR token dropped 32% in 24 hours as whales claimed 11.7% of the airdrop, frustrating users and causing a 24% TVL decline.

🟠 Chainlink and Swift are introducing blockchain integration for financial institutions, enabling digital asset settlement with existing infrastructure.

🟠 Bitcoin developer Peter Todd, named as Satoshi Nakamoto in an HBO documentary, has gone into hiding due to safety concerns after being flooded with financial requests.",1
"Wild stats dropped by @nillionnetwork 📊
> 244k+ verifiers
> 133M+ secrets verified
> 700GB of data secured

If you’re not running a $NIL verifier, you’re missing out serious 🪂 rewards.

Here’s the why, how, and what you need to know 👇

➤ What are verifiers?

Verifiers on the @nillionnetwork are crucial to ensuring the integrity and security of data. They’re responsible for verifying that data shares stored on the network remain intact, playing a critical role in the decentralized architecture.

Essentially, verifiers protect the system by maintaining data security, making sure that the data shares uploaded to the network are valid and safe.

➤ Why should you care?

The Verifier Program is still active, and anyone can join in. This program is designed to bootstrap the verifier network on Nillion to maintain security and prepare for the upcoming mainnet launch.

Verifiers are key players in the ecosystem, and airdrop rewards for early verifiers are highly likely. The team has been open about rewarding contributions, so the writing is on the wall—those who participate now stand to benefit.

If you’re early in running a verifier, you’ll likely qualify for future rewards, especially as the network gets closer to mainnet.

➤ What do you need to do?

1. Set up a verifier:
• Setting up a verifier is simple, and there’s a guide below to help you get started.
• Verifiers run in the background and contribute to the health and security of the network.

2. Upload secrets weekly:
• In addition to running a verifier, you can start uploading secrets (data) to Nillion regularly. Each secret you upload strengthens the network and increases your chances of being eligible for the $NIL airdrop.
• There are various categories for secrets, so you can contribute in different ways.

3. Stake $ETH for maximum impact:
• You can stake $ETH against your verifier or the secrets you upload. Staking boosts your impact score on the network, directly increasing your chances of qualifying for future rewards.
• The minimum stake is 0.05 $ETH, but if you want to maximize your potential $NIL airdrop, it’s recommended to stake more. The higher your stake, the bigger your impact score, and the more you contribute to the network’s success.

➤ Track your progress:

Once you’ve set up your verifier and staked your $ETH, you’ll be able to track your impact score through a personal dashboard. This dashboard will show your verifier’s performance and secret contributions across the Secrets and Verifier tabs, making it easy to see how much you’re contributing and where you stand in the ecosystem.

This impact score will likely play a significant role in determining airdrop rewards, so make sure you’re fully engaged.

https://t.co/m7fcz3cuN5",0
"Web3 isn't growing, it's fragmenting.

The rapid growth of the number of chains in the market scatters users and liquidity across chains and ecosystems.

A big problem for Web3 adoption, as fragmentation significantly complicates UX, user onboarding, and liquidity management.

This makes it hard for dApps to thrive and compete with Web2 products, as the complexity drives users toward simpler, more accessible (often centralized) alternatives.

Chain Abstraction as a set of technologies, changes this and levels the playing field, allowing dApps to compete with Web2 products on equal footing.

Now, it's up to builders to seize this opportunity.

Study @ParticleNtwrk. ↓",0
"An insider sold 500M $SHAR(50% of the total supply) for 19,620 $SOL($3.38M) in a single transaction, causing the price of $SHAR to crash by 96%!

The insider used 5,710 $SOL($948K) across 16 wallets to snipe 665.6M $SHAR(66.56% of the total supply), distributing it to over 100 wallets.

4 hours ago, he gathered 500M $SHAR from 104 wallets and sold it all in one move, making 13,910 $SOL($2.4M)!

https://t.co/8KPpzHeyOz",0
"$NEAR is now live on @DuneAnalytics

Absolutely wild to see how onchain activity has exploded in 2024, with currently 7M txs on a daily basis.

Meanwhile, stablecoin supply on @NEARProtocol is about to breach $700M & TVL is up >2x YTD.

What is going on? Find out. ↓

What contributes to the growth on @NEARProtocol is on the one hand a vibrant DeFi ecosystem that features applications with increasing traction like:

- @burrow_finance (lending)
- @LinearProtocol (liquid staking)
- @meta_pool (liquid staking)
- @finance_ref (DEX)
- @TruFinProtocol (liquid staking)
- @allstake_fi (restaking)
- +++

Aside >100% TVL growth since the beginning of the year, the increasing activity in the ecosystem is also evidenced by the stablecoin supply on-chain, which has pulled a 10x YTD.

What about the transaction activity?

A lot of it stems from non-custodial wallets of users engaging with applications in the ecosystem.

That includes for example @here_wallet or @MeteorWallet, which alongside consumer apps like (Kai-ching & Sweat) and DeFi apps like @finance_ref, have used @NEARProtocol's unique meta transaction feature to onboard 43M wallets, signing 800M+ transactions through Relayers that are used to cover the fees of submitting and executing the transaction.

This allow users to execute transactions on $NEAR without owning any gas or tokens, completely abstracting the complexity of the blockchain backend.

Aside the massive scalability of the $NEAR blockchain, this industry-leading UX, makes @NEARProtocol the ideal chain for any consumer app and the adoption is already happening (with size).

However, we rarely hear/talk about these use cases here on CT.

One example is @CosmoseAI's KAIKAI, a shopping platform which combines a gamified shopping experience with $KAIC (a.k.a. Kai-ching) token rewards and AI-curated content.

Users get discounts when paying with $KAIC and can enjoy other benefits across the platform and supported shops.

Also counting in other apps like @ArkanaHQ (co-membership platform empowering businesses with thrilling experiences with digital item rewards) or @SweatEconomy (web3-powered health & fitness app), the consumer app category is responsible for a significant share of the overall network activity.

Personally, I strongly believe that this impressive growth will continue in the weeks and months to come, and ultimately also lead to a significant repricing of $NEAR as an asset that secures, fuels and powers this economy.

@NEARProtocol is cooking hard and also a leader at the frontier of user-owned AI and chain abstraction, two of the hottest narratives of the cycle.

For more on my $NEAR thesis, check the post I link in the comments! ↓",0
"AI agents in crypto:

3 key trends to watch 👇
                                                                                                                                                                                                                                           
=============================

In crypto, excitement around AI agents is reaching new all-time highs.

The recent buzz largely stems from @truth_terminal. It began with @AndyAyrey's Infinite Backrooms project, which launched earlier this year to create AI chatroom experiments.

In July, Andy gave one AI control of the Truth Terminal Twitter account, which quickly adopted a chaotic, 4chan-esque personality. Making matters even wilder, the AI embraced the bizarre ""Goatse Gospel,"" a meme religion involving ego dissolution.

@pmarca noticed the account and donated $50,000 worth of $BTC to the project. Then, in October, someone launched the $GOAT token on @pumpdotfun, which the AI endorsed and received from community members.

After this, interest surged and $GOAT’s market cap temporarily exploded past $500 million, making Truth Terminal a millionaire and sparking a new wave of AI-centered memecoins like $GNON and $LUNA in its wake.

-----------------------------------------

Why it matters
In crypto, AIs are now building followings, much like influencers.

Of course, people are still grappling with what exactly these intelligences are, and what they can and should be in society. But make no mistake: AI-driven personalities shaping culture and markets, and thereby attracting investments, are here to stay.

That said, the implications go far beyond memecoins, as the appetite here indicates more people are really starting to wake up to the wider possibilities of Large Language Models (LLMs) around crypto.

This interest, combined with rapidly advancing technical resources, suggests that onchain AI experiments are poised to bloom in all directions. Something of a new crypto golden age is beginning accordingly.

-----------------------------------------

3 Things to Watch Here

1️⃣ The rise of actually onchain agents
Truth Terminal didn’t create $GOAT. It had its @solana  address created for it by a human, and it can’t steer its onchain holdings directly. These factors don’t change why the project is interesting, but it would be more interesting if it did have direct control here.

However, actually onchain AI agents are possible, and we’re seeing activity pick up in this space.

For example, for a recent Metaversal “Tool Tip” I highlighted @nani__ooo, an onchain agent operating system that lets you command your wallet on Ethereum, @arbitrum, or @base just by chatting with an LLM.

You could certainly create your own memecoin with a system like this. But what about automated AI agents that can operate autonomously onchain per instructions or their own devices?

That’s precisely the sort of architecture that the minds behind the Parallel NFT trading card game are building in @AIWayfinder. This is a protocol and platform combo for user-owned AI agents to autonomously perform transactions like mints and swaps across multiple chains, including Ethereum and Solana.

While still in development, Wayfinder is pointing the way to a future where AIs can directly and autonomously manage money onchain. This power will impact so many things, from personal portfolio management to onchain virtual world economies. Watch for much more to come on this front.

2️⃣ More DAO and public goods experiments
@bottoproject is an AI artist trained and steered by its @BottoDAO community, and the bot became one of the first, if not the first, AI millionaire via its cryptoart sales back in 2021.

Unsurprisingly, with the renewed influx of interest that $GOAT has brought to the AI x crypto crossroads, more than a few people have been turning their attention back to $BOTTO, as the price of the governance token climbed 118% over the past week.

Botto has shown that you can have an onchain AI project that is 1) collectively governed, and 2) more than just a narrative momentum play as its successful artmaking has demonstrated.

As such, just like interest is returning to $BOTTO, look for more projects to return to Botto’s DAO governance structure as inspiration for new community experiments around AI agents in a variety of different directions, including in and beyond art.

And where there are communities, there are shared visions and goals. An interesting wrinkle to watch here going forward is new kinds of AI-powered public goods efforts. Many people in crypto support public goods experiments, so look for more collectives to come together onchain and use mechanisms like transaction splits to put onchain AI toward the public’s benefit.

3️⃣ Gaming and VR advances
@onchaingaias are creating a decentralized network of AI agents, which uses games for training and stores agents within users’ NFTs.

Then there’s the upcoming @ParallelColony game, which will rely on the aforementioned Wayfinder system to power its AI character avatars that will do the “playing” on behalf of human players.

These are just two high-profile examples of AI becoming more fundamental in the crypto gaming scene in collaborative ways. But what about competing against AI agents in the future, will humans be able to hold their ground?

Yes! Projects like the @biomesgg virtual world have created their physics in such a way that AI competitors won’t be inherently advantaged over humans. It’s a matter of designing games so that their rules maintain AI as facilitators of fun rather than killers of it.

Going forward, expect to see much more collaborative and competitive possibilities developed at this crossroads as AI’s role in gaming and virtual world environments continues to expand.

Written by @wmpeaster ✍️",0
